A {'Q2': 4, 's': 10, 's23': 1, 't': -10, 'mu2': 8} all-coefficient relative differences [1.094638638234173e-15, 3.7414952529174536e-15]
B {'Q2': 4, 's': 10, 's23': 1, 't': -10, 'mu2': 8} all-coefficient relative differences [1.1287762885951552e-14, 2.1644560724640117e-14]
C {'Q2': 4, 's': 10, 's23': 1, 't': -10, 'mu2': 8} all-coefficient relative differences [4.37524465557917e-15, 4.456385617439241e-15]
A {'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 2} all-coefficient relative differences [3.039963446669973e-15, 1.391254837633657e-14]
B {'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 2} all-coefficient relative differences [1.8842641239179596e-13, 1.3240803451834458e-14]
C {'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 2} all-coefficient relative differences [5.519183658459988e-15, 1.6900405913408842e-14]
A {'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 4} all-coefficient relative differences [1.763366981799893e-15, 6.760130511620886e-15]
B {'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 4} all-coefficient relative differences [1.9717009742157768e-13, 1.489590388331374e-14]
C {'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 4} all-coefficient relative differences [5.025658469442624e-15, 7.855461177719055e-15]
A {'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 8} all-coefficient relative differences [1.6844880682828157e-15, 4.990884229909584e-15]
B {'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 8} all-coefficient relative differences [1.7093904233223253e-13, 1.468901632937883e-14]
C {'Q2': 4, 's': 10, 's23': 1.5, 't': -10, 'mu2': 8} all-coefficient relative differences [4.8762593652208355e-15, 5.769379393448824e-15]
All-coefficient agreement: True 4.097914501943293e-13
Regular-only discrepancy retained: True
